"Number","Name","Power","Accuracy","Stat"
"1","Acrobatics","55","100","Atk"
"2","Aerial Ace","60","--","Atk"
"3","Aqua Jet","40","100","Atk"
"4","Aqua Tail","90","90","Atk"
"5","Arm Thrust","15","100","Atk"
"6","Assurance","50","100","Atk"
"7","Astonish","30","100","Atk"
"8","Attack Order","90","100","Atk"
"9","Avalanche","60","100","Atk"
"10","Barrage","15","85","Atk"
"11","Beat Up","--","100","Atk"
"12","Bide","--","--","Atk"
"13","Bind","15","85","Atk"
"14","Bite","60","100","Atk"
"15","Blaze Kick","85","90","Atk"
"16","Body Slam","85","100","Atk"
"17","Bolt Strike","130","85","Atk"
"18","Bone Club","65","85","Atk"
"19","Bone Rush","25","90","Atk"
"20","Bonemerang","50","90","Atk"
"21","Bounce","85","85","Atk"
"22","Brave Bird","120","100","Atk"
"23","Brick Break","75","100","Atk"
"24","Bug Biite","60","100","Atk"
"25","Bulldoze","60","100","Atk"
"26","Bullet Punch","40","100","Atk"
"27","Bullet Seed","25","100","Atk"
"28","Chip Away","70","100","Atk"
"29","Circle Throw","60","90","Atk"
"30","Clamp","35","85","Atk"
"31","Close Combat","120","100","Atk"
"32","Comet Punch","18","85","Atk"
"33","Constrict","10","100","Atk"
"34","Counter","--","100","Atk"
"35","Covet","60","100","Atk"
"36","Crabhammer","90","90","Atk"
"37","Cross Chop","100","80","Atk"
"38","Cross Poison","70","100","Atk"
"39","Crunch","80","100","Atk"
"40","Crush Claw","75","95","Atk"
"41","Crush Grip","--","100","Atk"
"42","Cut","50","95","Atk"
"43","Dig","80","100","Atk"
"44","Dive","80","100","Atk"
"45","Dizzy Punch","70","100","Atk"
"46","Double Hit","35","90","Atk"
"47","Double Kick","30","100","Atk"
"48","Double-edge","120","100","Atk"
"49","Doubleslap","15","85","Atk"
"50","Dragon Claw","80","100","Atk"
"51","Dragon Rush","100","75","Atk"
"52","Dragon Tail","60","90","Atk"
"53","Drain Punch","75","100","Atk"
"54","Drill Peck","80","100","Atk"
"55","Drill Run","80","95","Atk"
"56","Dual Chop","40","90","Atk"
"57","Dynamic Punch","100","50","Atk"
"58","Earthquake","100","100","Atk"
"59","Egg Bomb","100","75","Atk"
"60","Endeavor","--","100","Atk"
"61","Explosion","250","100","Atk"
"62","Extreme speed","80","100","Atk"
"63","Facade","70","100","Atk"
"64","Faint Attack","60","--","Atk"
"65","Fake Out","40","100","Atk"
"66","False Swipe","40","100","Atk"
"67","Feint","30","100","Atk"
