"Name","Damage1","Damage2","Damage3","Damage4","Damage5","Damage6","Damage7","Damage8","Damage9","Damage10","Damage11","Damage12","Damage13","Damage14","Damage15","Damage16","Damage17"
"1","Bulbasaur","1","2","0.5","0.5","0.25","2","0.5","1","1","2","2","1","1","1","1","1","1"
"2","Ivysaur","1","2","0.5","0.5","0.25","2","0.5","1","1","2","2","1","1","1","1","1","1"
"3","Venusaur","1","2","0.5","0.5","0.25","2","0.5","1","1","2","2","1","1","1","1","1","1"
"4","Charmander","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"5","Charmeleon","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"6","Charizard","1","0.5","2","2","0.25","1","0.5","1","0","1","1","0.25","4","1","1","1","0.5"
"7","Squirtle","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"8","Wartortle","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"9","Blastoise","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"10","Caterpie","1","2","1","1","0.5","1","0.5","1","0.5","2","1","1","2","1","1","1","1"
"11","Metapod","1","2","1","1","0.5","1","0.5","1","0.5","2","1","1","2","1","1","1","1"
"12","Butterfree","1","2","1","2","0.25","2","0.25","1","0","2","1","0.5","4","1","1","1","1"
"13","Weedle","1","2","1","1","0.25","1","0.25","0.5","1","2","2","0.5","2","1","1","1","1"
"14","Kakuna","1","2","1","1","0.25","1","0.25","0.5","1","2","2","0.5","2","1","1","1","1"
"15","Beedrill","1","2","1","1","0.25","1","0.25","0.5","1","2","2","0.5","2","1","1","1","1"
"16","Pidgey","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"17","Pidgeotto","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"18","Pidgeot","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"19","Rattata","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"20","Raticate","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"21","Spearow","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"22","Fearow","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"23","Ekans","1","1","1","1","0.5","1","0.5","0.5","2","1","2","0.5","1","1","1","1","1"
"24","Arbok","1","1","1","1","0.5","1","0.5","0.5","2","1","2","0.5","1","1","1","1","1"
"25","Pikachu","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"26","Raichu","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"27","Sandshrew","1","1","2","0","2","2","1","0.5","1","1","1","1","0.5","1","1","1","1"
"28","Sandslash","1","1","2","0","2","2","1","0.5","1","1","1","1","0.5","1","1","1","1"
"29","Nidoran<U+2640>","1","1","1","1","0.5","1","0.5","0.5","2","1","2","0.5","1","1","1","1","1"
"30","Nidorina","1","1","1","1","0.5","1","0.5","0.5","2","1","2","0.5","1","1","1","1","1"
"31","Nidoqueen","1","1","2","0","1","2","0.5","0.25","2","1","2","0.5","0.5","1","1","1","1"
"32","Nidoran<U+2642>","1","1","1","1","0.5","1","0.5","0.5","2","1","2","0.5","1","1","1","1","1"
"33","Nidorino","1","1","1","1","0.5","1","0.5","0.5","2","1","2","0.5","1","1","1","1","1"
"34","Nidoking","1","1","2","0","1","2","0.5","0.25","2","1","2","0.5","0.5","1","1","1","1"
"35","Clefairy","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"36","Clefable","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"37","Vulpix","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"38","Ninetales","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"39","Jigglypuff","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"40","Wigglytuff","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"41","Zubat","1","1","1","2","0.25","2","0.25","0.5","0","1","2","0.25","2","1","1","1","1"
"42","Golbat","1","1","1","2","0.25","2","0.25","0.5","0","1","2","0.25","2","1","1","1","1"
"43","Oddish","1","2","0.5","0.5","0.25","2","0.5","1","1","2","2","1","1","1","1","1","1"
"44","Gloom","1","2","0.5","0.5","0.25","2","0.5","1","1","2","2","1","1","1","1","1","1"
"45","Vileplume","1","2","0.5","0.5","0.25","2","0.5","1","1","2","2","1","1","1","1","1","1"
"46","Paras","1","4","0.5","0.5","0.25","2","0.5","2","0.25","4","1","2","2","1","1","1","1"
"47","Parasect","1","4","0.5","0.5","0.25","2","0.5","2","0.25","4","1","2","2","1","1","1","1"
"48","Venonat","1","2","1","1","0.25","1","0.25","0.5","1","2","2","0.5","2","1","1","1","1"
"49","Venomoth","1","2","1","1","0.25","1","0.25","0.5","1","2","2","0.5","2","1","1","1","1"
"50","Diglett","1","1","2","0","2","2","1","0.5","1","1","1","1","0.5","1","1","1","1"
"51","Dugtrio","1","1","2","0","2","2","1","0.5","1","1","1","1","0.5","1","1","1","1"
"52","Meowth","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"53","Persian","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"54","Psyduck","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"55","Golduck","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"56","Mankey","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"57","Primeape","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"58","Growlithe","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"59","Arcanine","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"60","Poliwag","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"61","Poliwhirl","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"62","Poliwrath","1","0.5","0.5","2","2","0.5","1","1","1","2","2","0.5","0.5","1","1","0.5","0.5"
"63","Abra","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"64","Kadabra","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"65","Alakazam","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"66","Machop","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"67","Machoke","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"68","Machamp","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"69","Bellsprout","1","2","0.5","0.5","0.25","2","0.5","1","1","2","2","1","1","1","1","1","1"
"70","Weepinbell","1","2","0.5","0.5","0.25","2","0.5","1","1","2","2","1","1","1","1","1","1"
"71","Victreebel","1","2","0.5","0.5","0.25","2","0.5","1","1","2","2","1","1","1","1","1","1"
"72","Tentacool","1","0.5","0.5","2","1","0.5","0.5","0.5","2","1","2","0.5","1","1","1","1","0.5"
"73","Tentacruel","1","0.5","0.5","2","1","0.5","0.5","0.5","2","1","2","0.5","1","1","1","1","0.5"
"74","Geodude","0.5","0.5","4","0","4","2","2","0.25","2","0.5","1","1","0.5","1","1","1","2"
"75","Graveler","0.5","0.5","4","0","4","2","2","0.25","2","0.5","1","1","0.5","1","1","1","2"
"76","Golem","0.5","0.5","4","0","4","2","2","0.25","2","0.5","1","1","0.5","1","1","1","2"
"77","Ponyta","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"78","Rapidash","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"79","Slowpoke","1","0.5","0.5","2","2","0.5","0.5","1","1","1","0.5","2","1","2","1","2","0.5"
"80","Slowbro","1","0.5","0.5","2","2","0.5","0.5","1","1","1","0.5","2","1","2","1","2","0.5"
"81","Magnemite","0.5","2","1","0.5","0.5","0.5","2","0","4","0.25","0.5","0.5","0.5","0.5","0.5","0.5","0.25"
"82","Magneton","0.5","2","1","0.5","0.5","0.5","2","0","4","0.25","0.5","0.5","0.5","0.5","0.5","0.5","0.25"
"83","Farfetch'd","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"84","Doduo","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"85","Dodrio","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"86","Seel","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"87","Dewgong","1","1","0.5","2","2","0.25","2","1","1","1","1","1","2","1","1","1","1"
"88","Grimer","1","1","1","1","0.5","1","0.5","0.5","2","1","2","0.5","1","1","1","1","1"
"89","Muk","1","1","1","1","0.5","1","0.5","0.5","2","1","2","0.5","1","1","1","1","1"
"90","Shellder","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"91","Cloyster","1","1","0.5","2","2","0.25","2","1","1","1","1","1","2","1","1","1","1"
"92","Gastly","0","1","1","1","0.5","1","0","0.25","2","1","2","0.25","1","2","1","2","1"
"93","Haunter","0","1","1","1","0.5","1","0","0.25","2","1","2","0.25","1","2","1","2","1"
"94","Gengar","0","1","1","1","0.5","1","0","0.25","2","1","2","0.25","1","2","1","2","1"
"95","Onix","0.5","0.5","4","0","4","2","2","0.25","2","0.5","1","1","0.5","1","1","1","2"
"96","Drowzee","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"97","Hypno","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"98","Krabby","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"99","Kingler","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"100","Voltorb","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"101","Electrode","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"102","Exeggcute","1","2","0.5","0.5","0.5","2","0.5","2","0.5","2","0.5","4","1","2","1","2","1"
"103","Exeggutor","1","2","0.5","0.5","0.5","2","0.5","2","0.5","2","0.5","4","1","2","1","2","1"
"104","Cubone","1","1","2","0","2","2","1","0.5","1","1","1","1","0.5","1","1","1","1"
"105","Marowak","1","1","2","0","2","2","1","0.5","1","1","1","1","0.5","1","1","1","1"
"106","Hitmonlee","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"107","Hitmonchan","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"108","Lickitung","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"109","Koffing","1","1","1","1","0.5","1","0.5","0.5","2","1","2","0.5","1","1","1","1","1"
"110","Weezing","1","1","1","1","0.5","1","0.5","0.5","2","1","2","0.5","1","1","1","1","1"
"111","Rhyhorn","0.5","0.5","4","0","4","2","2","0.25","2","0.5","1","1","0.5","1","1","1","2"
"112","Rhydon","0.5","0.5","4","0","4","2","2","0.25","2","0.5","1","1","0.5","1","1","1","2"
"113","Chansey","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"114","Tangela","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"115","Kangaskhan","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"116","Horsea","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"117","Seadra","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"118","Goldeen","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"119","Seaking","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"120","Staryu","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"121","Starmie","1","0.5","0.5","2","2","0.5","0.5","1","1","1","0.5","2","1","2","1","2","0.5"
"122","Mr. Mime","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"123","Scyther","1","2","1","2","0.25","2","0.25","1","0","2","1","0.5","4","1","1","1","1"
"124","Jynx","1","2","1","1","1","0.5","1","1","1","1","0.5","2","2","2","1","2","2"
"125","Electabuzz","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"126","Magmar","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"127","Pinsir","1","2","1","1","0.5","1","0.5","1","0.5","2","1","1","2","1","1","1","1"
"128","Tauros","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"129","Magikarp","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"130","Gyarados","1","0.5","0.5","4","1","1","0.5","1","0","1","1","0.5","2","1","1","1","0.5"
"131","Lapras","1","1","0.5","2","2","0.25","2","1","1","1","1","1","2","1","1","1","1"
"132","Ditto","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"133","Eevee","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"134","Vaporeon","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"135","Jolteon","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"136","Flareon","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"137","Porygon","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"138","Omanyte","0.5","0.25","1","2","4","0.5","2","0.5","2","0.5","1","1","1","1","1","1","1"
"139","Omastar","0.5","0.25","1","2","4","0.5","2","0.5","2","0.5","1","1","1","1","1","1","1"
"140","Kabuto","0.5","0.25","1","2","4","0.5","2","0.5","2","0.5","1","1","1","1","1","1","1"
"141","Kabutops","0.5","0.25","1","2","4","0.5","2","0.5","2","0.5","1","1","1","1","1","1","1"
"142","Aerodactyl","0.5","0.5","2","2","1","2","1","0.5","0","0.5","1","0.5","2","1","1","1","2"
"143","Snorlax","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"144","Articuno","1","2","1","2","0.5","1","1","1","0","1","1","0.5","4","1","1","1","2"
"145","Zapdos","1","1","1","1","0.5","2","0.5","1","0","0.5","1","0.5","2","1","1","1","0.5"
"146","Moltres","1","0.5","2","2","0.25","1","0.5","1","0","1","1","0.25","4","1","1","1","0.5"
"147","Dratini","1","0.5","0.5","0.5","0.5","2","1","1","1","1","1","1","1","1","2","1","1"
"148","Dragonair","1","0.5","0.5","0.5","0.5","2","1","1","1","1","1","1","1","1","2","1","1"
"149","Dragonite","1","0.5","0.5","1","0.25","4","0.5","1","0","1","1","0.5","2","1","2","1","1"
"150","Mewtwo","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"151","Mew","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"152","Chikorita","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"153","Bayleef","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"154","Meganium","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"155","Cyndaquil","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"156","Quilava","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"157","Typhlosion","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"158","Totodile","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"159","Croconaw","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
